#Parameters = {ZL=50; C=0; L=100; Lamb=0.05; Li=0; R=1e-13; W=20; Zp2=50; dlump=2; er=2; h=0.8; w1=2.62}
#"Time / ns"	"i1 (ZL=50) [Real / W^(1/2)]"
#-----------------------------------------
0.0000000000000	-2.0050163129781e-07
0.00059221754781902	-7.0738565227657e-08
0.0011844350956380	7.0738565227657e-08
0.0017766526434571	1.8044806893158e-06
0.0023688701912761	1.9724964204215e-06
0.0029610877390951	2.1555079001701e-06
0.0035533052869141	2.3547913770017e-06
0.0041455226019025	2.5717260996316e-06
0.0047377403825521	2.8078013656341e-06
0.0053299576975405	3.0646260711364e-06
0.0059221754781902	3.3439366688981e-06
0.0065143927931786	3.6476067180047e-06
0.0071066105738282	3.9776573430572e-06
0.0076988278888166	4.3362688302295e-06
0.0082910452038050	4.7257899495889e-06
0.0088832629844546	5.1487531891325e-06
0.0094754807651043	5.6078856687236e-06
0.010067697614431	6.1061246015015e-06
0.010659915395081	6.6466313910496e-06
0.011252133175731	7.2328084570472e-06
0.011844350956380	7.8683151514269e-06
0.012436567805707	8.5570864030160e-06
0.013028785586357	9.3033540906617e-06
0.013621003367007	1.0111663868884e-05
0.014213221147656	1.0986897905241e-05
0.014805437996984	1.1934301255678e-05
0.015397655777633	1.2959502782905e-05
0.015989873558283	1.4068541531742e-05
0.016582090407610	1.5267898561433e-05
0.017174309119582	1.6564521502005e-05
0.017766525968909	1.7965854567592e-05
0.018358742818236	1.9479883121676e-05
0.018950961530209	2.1115152776474e-05
0.019543178379536	2.2880816686666e-05
0.020135395228863	2.4786673748167e-05
0.020727613940835	2.6843206796912e-05
0.021319830790162	2.9061631721561e-05
0.021912049502134	3.1453935662284e-05
0.022504266351461	3.4032935218420e-05
0.023096483200788	3.6812325561186e-05
0.023688701912761	3.9806735003367e-05
0.024280918762088	4.3031774112023e-05
0.024873135611415	4.6504112106049e-05
0.025465354323387	5.0241538701812e-05
0.026057571172714	5.4263011406874e-05
0.026649788022041	5.8588757383404e-05
0.027242006734014	6.3240331655834e-05
0.027834223583341	6.8240682594478e-05
0.028426442295313	7.3614275606815e-05
0.029018659144640	7.9387136793230e-05
0.029610875993967	8.5586973000318e-05
0.030203094705939	9.2243251856416e-05
0.030795311555266	9.9387318186928e-05
0.031387530267239	0.00010705248860177
0.031979747116566	0.00011527416791068
0.032571963965893	0.00012408995826263
0.033164180815220	0.00013353979738895
0.033756397664547	0.00014366606774274
0.034348618239164	0.00015451374929398
0.034940835088491	0.00016613054322079
0.035533051937819	0.00017856701742858
0.036125268787146	0.00019187679572497
0.036717485636473	0.00020611664513126
0.037309702485800	0.00022134672326501
0.037901923060417	0.00023763072385918
0.038494139909744	0.00025503599317744
0.039086356759071	0.00027363383560441
0.039678573608398	0.00029349961550906
0.040270790457726	0.00031471301917918
0.040863011032343	0.00033735821489245
0.041455227881670	0.00036152414395474
0.042047444730997	0.00038730469532311
0.042639661580324	0.00041479893843643
0.043231878429651	0.00044411138514988
0.043824099004269	0.00047535233898088
0.044416315853596	0.00050863798242062
0.045008532702923	0.00054409075528383
0.045600749552250	0.00058183970395476
0.046192966401577	0.00062202056869864
0.046785183250904	0.00066477642394602
0.047377403825521	0.00071025756187737
0.047969620674849	0.00075862219091505
0.048561837524176	0.00081003661034629
0.049154054373503	0.00086467561777681
0.049746271222830	0.00092272262554616
0.050338491797447	0.00098437035921961
0.050930708646774	0.0010498212650418
0.051522925496101	0.0011192873353139
0.052115142345428	0.0011929912725464
0.052707359194756	0.0012711662566289
0.053299576044083	0.0013540567597374
0.053891796618700	0.0014419187791646
0.054484013468027	0.0015350204193965
0.055076230317354	0.0016336422413588
0.055668447166681	0.0017380776116624
0.056260664016008	0.0018486334010959
